'attribute_id','attribute_name','openml_dataset_id','dataset_name','distinct_values_cnt','distinct_values_pct','missing_values_pct','mean','std','min_val','max_val','range_val','co_of_var'
33,'thick',1,'anneal',50,0.0556793,0,1.19854899777283,0.871208280971893,0.24,4,3.76,0.726885828273014
34,'width',1,'anneal',68,0.0757238,0,780.653340757238,405.345687963069,0,1525,1525,0.519239035818231
35,'len',1,'anneal',24,0.0267261,0,1263.09465478842,1871.39910726659,0,4880,4880,1
77,'x-box',6,'letter',16,0.0008,0,4.02355,1.91321154513055,0,15,15,0.47550336024917
78,'y-box',6,'letter',16,0.0008,0,7.0355,3.30455530356018,0,15,15,0.46969729280935
79,'width',6,'letter',16,0.0008,0,5.12185,2.01457328056716,0,15,15,0.393329222950138
80,'high',6,'letter',16,0.0008,0,5.37245,2.26139043330306,0,15,15,0.420923495482146
81,'onpix',6,'letter',16,0.0008,0,3.50585,2.19045787057961,0,15,15,0.624800795978038
82,'x-bar',6,'letter',16,0.0008,0,6.8976,2.02603540960518,0,15,15,0.293730487358673
83,'y-bar',6,'letter',16,0.0008,0,7.50045,2.3253537711514,0,15,15,0.310028567772787
84,'x2bar',6,'letter',16,0.0008,0,4.6286,2.69996787598048,0,15,15,0.58332279220077
85,'y2bar',6,'letter',16,0.0008,0,5.17865,2.3808228815642,0,15,15,0.459738132826934
86,'xybar',6,'letter',16,0.0008,0,8.28205,2.48847491907617,0,15,15,0.300466058412611
87,'x2ybr',6,'letter',16,0.0008,0,6.454,2.63107014853392,0,15,15,0.407665036959083
88,'xy2br',6,'letter',16,0.0008,0,7.929,2.08061900615476,0,15,15,0.262406231070093
89,'x-ege',6,'letter',16,0.0008,0,3.0461,2.33254085223418,0,15,15,0.765746643982201
90,'xegvy',6,'letter',16,0.0008,0,8.33885,1.5467224363197,0,15,15,0.18548390201523
91,'y-ege',6,'letter',16,0.0008,0,3.69175,2.56707254096403,0,15,15,0.695353840580763
92,'yegvx',6,'letter',16,0.0008,0,7.8012,1.61747005241783,0,15,15,0.20733605758317
94,'mcv',8,'liver-disorders',26,0.0753623,0,90.1594202898551,4.44809597496435,65,103,38,0.049335898130934
95,'alkphos',8,'liver-disorders',78,0.226087,0,69.8695652173913,18.347670344702,23,138,115,0.262598891056718
96,'sgpt',8,'liver-disorders',67,0.194203,0,30.4057971014493,19.5123089062792,4,155,151,0.641729892532537
97,'sgot',8,'liver-disorders',47,0.136232,0,24.6434782608696,10.0644937467396,5,82,77,0.408403945262897
98,'gammagt',8,'liver-disorders',94,0.272464,0,38.2840579710145,39.2546161675509,5,297,292,1
99,'drinks',8,'liver-disorders',16,0.0463768,0,3.45507246376812,3.33783526457713,0,20,20,0.966068092516031
120,'att1',12,'mfeat-factors',390,0.195,0,272.0515,91.2754537210087,67,515,448,0.335507996541128
121,'att2',12,'mfeat-factors',446,0.223,0,322.7255,109.426588354337,81,565,484,0.339070164441101
122,'att3',12,'mfeat-factors',541,0.2705,0,774.824500000001,140.141569598441,500,1264,764,0.180868789769091
123,'att4',12,'mfeat-factors',440,0.22,0,754.339,109.173767612771,543,1134,591,0.14472772534997
124,'att5',12,'mfeat-factors',252,0.126,0,640.4605,48.9401165431146,437,823,386,0.0764139498737465
125,'att6',12,'mfeat-factors',419,0.2095,0,684.472,85.0788600194613,439,1047,608,0.124298525022881
126,'att7',12,'mfeat-factors',43,0.0215,0,19.45,11.351560640039,0,42,42,0.583627796403032
127,'att8',12,'mfeat-factors',39,0.0195,0,18.373,7.35179538940821,1,39,38,0.400141261057433
128,'att9',12,'mfeat-factors',40,0.02,0,15.359,8.8872161167124,0,39,39,0.578632470649938
129,'att10',12,'mfeat-factors',18,0.009,0,9.054,4.0844124684716,0,17,17,0.451116906170931
130,'att11',12,'mfeat-factors',19,0.0095,0,9.4295,3.97516423753254,0,18,18,0.421566810279712
131,'att12',12,'mfeat-factors',18,0.009,0,9.4465,3.8290297053225,1,18,17,0.405338453958874
132,'att13',12,'mfeat-factors',336,0.168,0,291.4065,79.0978539089177,94,494,400,0.271434761780941
