'attribute_id','attribute_name','openml_dataset_id','dataset_name','distinct_values_cnt','distinct_values_pct','missing_values_pct','val_size_min','val_size_max','val_size_avg','val_size_std','val_pct_min','val_pct_max','val_pct_median','val_pct_std'
1,'family',1,'anneal',3,0.00334076,0,1,2,1.9,0.316228,0,85.97,0,26.8528
2,'product-type',1,'anneal',1,0.00111359,0,1,1,1,0,0,100,0,57.735
3,'steel',1,'anneal',8,0.00890869,0,1,1,1,0,0,49,2.23,16.7347
4,'carbon',1,'anneal',10,0.0111359,0,1,2,1.5,0.527046,0.11,91.43,0.89,28.621
5,'hardness',1,'anneal',7,0.0077951,0,1,2,1.85714,0.377964,0.56,80.29,3.79,29.1601
6,'temper_rolling',1,'anneal',2,0.00222717,0,1,1,1,0,15.26,84.74,50,49.1298
7,'condition',1,'anneal',3,0.00334076,0,1,1,1,0,0,61.8,19.095,28.7398
8,'formability',1,'anneal',5,0.00556793,0,1,1,1,0,0,42.09,10.635,18.1255
9,'strength',1,'anneal',8,0.00890869,0,1,3,2.75,0.707107,0.11,92.87,1.11,32.4837
10,'non-ageing',1,'anneal',2,0.00222717,0,1,1,1,0,11.69,88.31,50,54.1785
11,'surface-finish',1,'anneal',2,0.00222717,0,1,1,1,0,0,99,1,56.8712
12,'surface-quality',1,'anneal',5,0.00556793,0,1,1,1,0,6.12,34.52,25.5,12.8702
13,'enamelability',1,'anneal',3,0.00334076,0,1,1,1,0,0,98.22,0.335,39.9554
14,'bc',1,'anneal',2,0.00222717,0,1,1,1,0,0.11,99.89,50,70.5551
15,'bf',1,'anneal',2,0.00222717,0,1,1,1,0,14.37,85.63,50,50.3884
16,'bt',1,'anneal',2,0.00222717,0,1,1,1,0,8.24,91.76,50,59.0576
17,'bw%2Fme',1,'anneal',3,0.00334076,0,1,1,1,0,5.79,76.5,17.71,37.8555
18,'bl',1,'anneal',2,0.00222717,0,1,1,1,0,16.59,83.41,50,47.2489
19,'m',1,'anneal',1,0.00111359,0,1,1,1,0,0,100,50,70.7107
20,'chrom',1,'anneal',2,0.00222717,0,1,1,1,0,2.9,97.1,50,66.6095
21,'phos',1,'anneal',2,0.00222717,0,1,1,1,0,0.78,99.22,50,69.6076
22,'cbond',1,'anneal',2,0.00222717,0,1,1,1,0,8.24,91.76,50,59.0576
23,'marvi',1,'anneal',1,0.00111359,0,1,1,1,0,0,100,50,70.7107
24,'exptl',1,'anneal',2,0.00222717,0,1,1,1,0,0.22,99.78,50,70.3996
25,'ferro',1,'anneal',2,0.00222717,0,1,1,1,0,3.34,96.66,50,65.9872
26,'corr',1,'anneal',1,0.00111359,0,1,1,1,0,0,100,50,70.7107
27,'blue%2Fbright%2Fvarn%2Fclean',1,'anneal',4,0.00445434,0,1,1,1,0,0,99.33,0.11,44.3471
28,'lustre',1,'anneal',2,0.00222717,0,1,1,1,0,5.68,94.32,50,62.6779
29,'jurofm',1,'anneal',1,0.00111359,0,1,1,1,0,0,100,50,70.7107
30,'s',1,'anneal',1,0.00111359,0,1,1,1,0,0,100,50,70.7107
31,'p',1,'anneal',1,0.00111359,0,1,1,1,0,0,100,50,70.7107
32,'shape',1,'anneal',2,0.00222717,0,4,5,4.5,0.707107,45.88,54.12,50,5.82656
36,'oil',1,'anneal',3,0.00334076,0,1,1,1,0,2.45,92.87,4.68,51.5723
37,'bore',1,'anneal',3,0.00334076,0,1,3,2.5,1,0,95.1,2.445,46.7599
38,'packing',1,'anneal',3,0.00334076,0,1,1,1,0,0,99,0.5,49.3349
39,'class',1,'anneal',5,0.00556793,0,1,1,1,0,0,76.17,5.955,29.4388
40,'bkblk',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,11.17,88.83,50,54.9139
41,'bknwy',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,7.04,92.96,50,60.7546
42,'bkon8',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,3.75,96.25,50,65.4074
43,'bkona',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,10.08,89.92,50,56.4554
44,'bkspr',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,33.39,66.61,50,23.4901
45,'bkxbq',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,46.12,53.88,50,5.48715
46,'bkxcr',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,36.61,63.39,50,18.9363
47,'bkxwp',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,21.78,78.22,50,39.9091
48,'blxwp',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,38.05,61.95,50,16.8999
49,'bxqsq',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,30.38,69.62,50,27.7469
50,'cntxt',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,43.15,56.85,50,9.68736
51,'dsopp',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,10.51,89.49,50,55.8473
52,'dwipd',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,31.01,68.99,50,26.8559
53,'hdchk',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,0.47,99.53,50,70.046
54,'katri',3,'kr-vs-kp',3,0.000938673,0,1,1,1,0,7.01,79.04,13.95,39.7349
55,'mulch',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,4.88,95.12,50,63.8093
56,'qxmsq',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,3.04,96.96,50,66.4115
57,'r2ar8',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,31.29,68.71,50,26.4599
58,'reskd',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,0.81,99.19,50,69.5652
59,'reskr',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,15.08,84.92,50,49.3843
60,'rimmx',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,18.27,81.73,50,44.873
61,'rkxwp',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,20.03,79.97,50,42.384
62,'rxmsq',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,5.73,94.27,50,62.6072
63,'simpl',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,38.2,61.8,50,16.6877
64,'skach',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,0.34,99.66,50,70.2299
65,'skewr',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,30.66,69.34,50,27.3509
66,'skrxp',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,5.48,94.52,50,62.9608
67,'spcop',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,0.03,99.97,50,70.6683
68,'stlmt',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,1.47,98.53,50,68.6318
69,'thrsk',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,4.26,95.74,50,64.6861
70,'wkcti',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,17.68,82.32,50,45.7074
71,'wkna8',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,5.48,94.52,50,62.9608
72,'wknck',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,37.92,62.08,50,17.0837
73,'wkovl',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,37.2,62.8,50,18.1019
74,'wkpos',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,26.63,73.37,50,33.0502
75,'wtoeg',3,'kr-vs-kp',2,0.000625782,0,1,1,1,0,0,75.31,24.69,38.3918
76,'class',3,'kr-vs-kp',2,0.000625782,0,3,5,4,1.41421,47.78,52.22,50,3.13956
93,'class',6,'letter',26,0.0013,0,1,1,1,0,3.67,4.06,3.835,0.115314
100,'selector',8,'liver-disorders',2,0.0057971,0,1,1,1,0,42.03,57.97,50,11.2713
101,'lymphatics',10,'lymph',4,0.027027,0,6,9,7.25,1.5,1.35,45.27,26.69,18.3889
102,'block_of_affere',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,44.59,55.41,50,7.6509
103,'bl_of_lymph_c',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,17.57,82.43,50,45.8629
104,'bl_of_lymph_s',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,4.73,95.27,50,64.0214
105,'by_pass',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,24.32,75.68,50,36.317
106,'extravasates',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,49.32,50.68,50,0.961666
107,'regeneration_of',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,6.76,93.24,50,61.1506
108,'early_uptake_in',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,29.73,70.27,50,28.6661
109,'lym_nodes_dimin',10,'lymph',3,0.0202703,0,1,1,1,0,2.03,95.95,2.03,54.2247
110,'lym_nodes_enlar',10,'lymph',4,0.027027,0,1,1,1,0,8.78,48.65,21.28,17.9892
111,'changes_in_lym',10,'lymph',3,0.0202703,0,4,5,4.33333,0.57735,4.05,52.03,43.92,25.6823
112,'defect_in_node',10,'lymph',4,0.027027,0,2,11,7.5,4.04145,2.03,33.78,32.095,15.3563
113,'changes_in_node',10,'lymph',4,0.027027,0,2,11,7.5,4.04145,4.05,50.68,22.635,19.7953
114,'changes_in_stru',10,'lymph',8,0.0540541,0,2,9,6.5,2.32993,1.35,30.41,11.15,10.3631
115,'special_forms',10,'lymph',3,0.0202703,0,2,8,6,3.4641,18.92,52.03,29.05,16.9655
116,'dislocation_of',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,33.78,66.22,50,22.9385
117,'exclusion_of_no',10,'lymph',2,0.0135135,0,2,3,2.5,0.707107,20.95,79.05,50,41.0829
118,'no_of_nodes_in',10,'lymph',8,0.0540541,0,1,1,1,0,1.35,38.51,6.085,12.7669
119,'class',10,'lymph',4,0.027027,0,6,12,9,2.58199,1.35,54.73,21.96,27.1021
333,'att214',12,'mfeat-factors',15,0.0075,0,1,2,1.6,0.507093,0.1,14.7,7.7,5.35166
334,'att215',12,'mfeat-factors',15,0.0075,0,1,2,1.66667,0.48795,0.05,18.8,3.95,7.26048
336,'class',12,'mfeat-factors',10,0.005,0,1,2,1.1,0.316228,10,10,10,0
413,'class',14,'mfeat-fourier',10,0.005,0,1,2,1.1,0.316228,10,10,10,0
478,'class',16,'mfeat-karhunen',10,0.005,0,1,2,1.1,0.316228,10,10,10,0
479,'IDENTIF',17,'bridges',107,1,0,2,5,3.00926,0.442917,0,0.93,0.93,0.0894893
480,'RIVER',17,'bridges',4,0.0373832,0,1,1,1,0,2.8,44.86,26.17,19.8766
483,'PURPOSE',17,'bridges',4,0.0373832,0,2,8,5.25,2.75379,0.93,66.36,16.355,30.3192
486,'CLEAR-G',17,'bridges',2,0.0186916,0.0186916,1,1,1,0,24.76,75.24,50,35.6947
487,'T-OR-D',17,'bridges',2,0.0186916,0.046729,4,7,5.5,2.12132,14.71,85.29,50,49.9076
488,'MATERIAL',17,'bridges',3,0.0280374,0.0186916,4,5,4.33333,0.57735,10.48,74.29,15.24,35.5464
